Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
1985 (20),"8,127","13,376","29,141","9,611","9,001","19,610","1,434","13,955","30,403","1,791","10,467","22,804","1,506","14,628","31,869","1,899","9,539","20,782","4,377","12,278","26,749","5,154","8,001","17,431",810,"15,952","34,754",766,"10,962","23,882"
1984 (19),"7,851","12,119","27,309","9,460","8,622","19,429","1,405","13,497","30,415","1,849","9,359","21,090","1,520","12,188","27,465","1,870","9,029","20,346","4,217","11,289","25,439","5,001","7,986","17,996",710,"14,177","31,947",740,"10,043","22,631"
1983,"7,580","11,501","26,995","9,109","7,872","18,477","1,405","12,273","28,807","1,759","8,463","19,864","1,320","12,141","28,497","1,727","8,063","18,926","4,095","10,547","24,756","4,819","7,288","17,106",759,"14,097","33,089",805,"9,663","22,681"
1982,"7,290","11,050","27,044","8,921","7,349","17,986","1,264","11,984","29,330","1,660","8,032","19,658","1,272","12,637","30,929","1,709","7,303","17,874","3,965","9,857","24,125","4,752","6,836","16,731",790,"12,986","31,783",799,"9,086","22,238"
1981,"7,459","10,531","27,331","8,829","6,728","17,461","1,335","11,051","28,680","1,611","7,433","19,291","1,452","11,796","30,614","1,709","7,203","18,694","3,936","9,502","24,660","4,681","5,966","15,483",735,"12,598","32,695",828,"8,682","22,532"
1980,"7,387","9,843","27,957","8,596","6,327","17,970","1,303","9,937","28,224","1,645","6,743","19,152","1,455","11,260","31,982","1,699","6,661","18,919","3,891","8,870","25,193","4,468","5,759","16,357",737,"12,014","34,123",783,"7,971","22,640"
1979 (18),"7,288","9,265","29,262","8,533","5,645","17,829","1,310","9,964","31,470","1,592","6,341","20,027","1,469","10,765","34,000","1,757","6,262","19,778","3,818","8,285","26,167","4,374","4,968","15,691",692,"10,173","32,130",809,"6,590","20,814"
1978,"6,971","8,541","29,534","7,959","5,212","18,022","1,212","9,496","32,836","1,522","6,157","21,290","1,443","10,498","36,301","1,611","6,092","21,065","3,674","7,398","25,581","4,144","4,403","15,225",642,"8,882","30,713",682,"5,943","20,550"
1977,"6,777","7,743","28,610","7,562","4,803","17,747","1,111","8,600","31,777","1,394","5,813","21,479","1,262","9,277","34,278","1,457","5,521","20,400","3,721","6,732","24,875","4,034","4,039","14,924",682,"9,022","33,336",677,"5,728","21,165"
1976 (17),"6,651","7,180","28,204","7,188","4,545","17,854","1,060","7,588","29,807","1,303","5,603","22,010","1,247","8,790","34,529","1,372","5,229","20,540","3,702","6,308","24,779","3,858","3,829","15,041",642,"8,411","33,040",655,"5,224","20,521"
1975 (16),"6,485","6,633","27,555","6,969","4,134","17,173","1,098","7,863","32,664","1,282","4,945","20,543","1,262","7,910","32,860","1,402","4,920","20,439","3,493","5,658","23,504","3,722","3,466","14,398",632,"7,330","30,450",564,"4,744","19,708"
1974 (16)(15),"6,409","6,318","28,403","6,779","3,759","16,899","1,095","7,602","34,176","1,260","4,697","21,116","1,237","7,892","35,480","1,389","4,288","19,277","3,457","5,165","23,220","3,563","3,118","14,017",620,"7,339","32,994",567,"4,410","19,826"
1973,"6,394","5,864","28,999","6,513","3,356","16,596","1,064","6,803","33,642","1,155","4,304","21,284","1,267","7,287","36,036","1,306","3,848","19,029","3,476","4,828","23,875","3,506","2,724","13,471",588,"7,227","35,739",546,"4,231","20,923"
1972 (14),"6,043","5,447","28,623","6,274","3,254","17,099",(NA),"6,110","32,106",(NA),"4,132","21,713",(NA),"6,513","34,224",(NA),"3,627","19,059",(NA),"4,592","24,130",(NA),"2,659","13,972",(NA),"6,882","36,163",(NA),"4,071","21,392"
1971 (13),"6,024","4,888","26,455","6,151","2,896","15,674",(NA),"5,904","31,954",(NA),"3,944","21,346",(NA),"6,050","32,744",(NA),"3,400","18,402",(NA),"3,931","21,276",(NA),"2,211","11,967",(NA),"6,358","34,411",(NA),"3,595","19,457"
1970,"5,844","4,683","26,456","5,844","2,743","15,496",(NA),"5,689","32,140",(NA),"3,601","20,344",(NA),"5,907","33,371",(NA),"3,177","17,948",(NA),"3,730","21,072",(NA),"2,201","12,434",(NA),"6,110","34,518",(NA),"3,337","18,852"
1969,"5,870","4,361","25,851","5,728","2,448","14,511",(NA),"5,432","32,200",(NA),"3,190","18,910",(NA),"5,516","32,697",(NA),"2,797","16,580",(NA),"3,440","20,391",(NA),"1,952","11,571",(NA),"5,433","32,205",(NA),"3,175","18,821"
1968,"5,715","4,018","24,880","5,629","2,208","13,672",(NA),"4,860","30,094",(NA),"2,746","17,004",(NA),"5,134","31,790",(NA),"2,578","15,963",(NA),"3,054","18,911",(NA),"1,740","10,774",(NA),"5,431","33,629",(NA),"3,062","18,960"
1967 (12),"5,572","3,696","23,784","5,397","2,072","13,333",(NA),"4,479","28,822",(NA),"2,669","17,175",(NA),"4,840","31,145",(NA),"2,486","15,997",(NA),"2,809","18,076",(NA),"1,589","10,225",(NA),"4,991","32,117",(NA),"2,810","18,082"
