Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
1978,"67,273","13,609","47,058","62,695","5,631","19,471","15,512","13,472","46,584","14,752","5,778","19,979","18,676","13,537","46,809","17,472","5,426","18,762","20,367","13,189","45,606","18,426","5,489","18,980","12,718","14,556","50,333","12,045","5,965","20,626"
1977,"65,974","12,537","46,324","56,813","5,349","19,764","15,392","12,679","46,849","13,638","5,503","20,334","18,428","12,637","46,694","15,806","5,173","19,114","19,744","12,128","44,813","16,829","5,208","19,243","12,409","12,865","47,536","10,540","5,638","20,832"
1976 (17),"64,946","11,604","45,583","55,026","4,919","19,323","15,200","11,582","45,496","13,165","5,011","19,684","18,320","11,914","46,800","15,383","4,826","18,957","19,166","11,048","43,399","16,316","4,782","18,785","12,259","12,039","47,291","10,162","5,162","20,277"
1975 (16),"63,629","10,832","44,998","52,936","4,550","18,902","14,809","11,121","46,199","12,395","4,744","19,708","17,850","10,860","45,115","14,797","4,448","18,478","19,072","10,356","43,021","15,762","4,342","18,038","11,897","11,194","46,502","9,982","4,789","19,894"
1974 (16)(15),"63,388","10,223","45,959","52,038","4,203","18,895","14,899","10,489","47,155","12,569","4,404","19,799","18,074","10,411","46,804","14,598","4,079","18,338","18,705","9,716","43,680","15,239","4,019","18,068","11,710","10,406","46,782","9,632","4,421","19,875"
1973,"62,082","9,652","47,731","49,741","3,853","19,054","14,883","9,888","48,898","12,259","3,992","19,741","17,919","9,674","47,840","13,812","3,769","18,638","18,120","9,146","45,229","14,466","3,711","18,352","11,161","10,126","50,075","9,204","4,016","19,860"
1972 (14),"60,565","8,980","47,187","47,519","3,609","18,964",(NA),"9,347","49,116",(NA),"3,758","19,747",(NA),"8,929","46,919",(NA),"3,558","18,696",(NA),"8,464","44,476",(NA),"3,440","18,076",(NA),"9,388","49,331",(NA),"3,755","19,732"
1971 (13),"59,729","8,203","44,397","45,941","3,384","18,315",(NA),"8,454","45,756",(NA),"3,541","19,165",(NA),"8,232","44,554",(NA),"3,319","17,963",(NA),"7,751","41,951",(NA),"3,225","17,455",(NA),"8,530","46,167",(NA),"3,526","19,084"
1970,"58,447","7,840","44,292","45,288","3,185","17,994",(NA),"8,179","46,207",(NA),"3,438","19,423",(NA),"7,788","43,998",(NA),"3,009","16,999",(NA),"7,412","41,874",(NA),"3,055","17,259",(NA),"8,116","45,851",(NA),"3,310","18,700"
1969,"57,343","7,508","44,506","44,025","3,009","17,837",(NA),"7,697","45,626",(NA),"3,228","19,135",(NA),"7,706","45,679",(NA),"2,814","16,681",(NA),"6,782","40,202",(NA),"2,901","17,196",(NA),"8,059","47,772",(NA),"3,184","18,874"
1968,"56,219","6,895","42,695","42,482","2,801","17,344",(NA),"7,106","44,001",(NA),"2,944","18,230",(NA),"6,993","43,301",(NA),"2,610","16,161",(NA),"6,210","38,453",(NA),"2,701","16,725",(NA),"7,506","46,478",(NA),"3,063","18,966"
1967 (12),"55,270","6,307","40,585","41,045","2,546","16,383",(NA),"6,671","42,927",(NA),"2,857","18,385",(NA),"6,427","41,357",(NA),"2,456","15,804",(NA),"5,804","37,348",(NA),"2,564","16,499",(NA),"6,975","44,884",(NA),"2,903","18,681"
